Employee_ID,Name,Age,Gender,Education,Department,Job_Title,Experience,Performance_Rating,Overtime,Work_Mode,City,Company_Size,Marital_Status,Certification_Count,Skills_Score,Years_At_Company,Promotion_Last_5_Years,Annual_Bonus,Monthly_Salary,Years_at_Company
3972,Mark Morrow,54.0,Male,Bachelor's,Finance,Business Analyst,29.0,3.0,No,Office,Mumbai,Startup,Married,9.0,54.0,15,No,129059,165491,
2275,Betty Perry,29.0,Male,Bachelor's,Operations,ML Engineer,6.0,3.0,No,Office,Lucknow,Startup,Single,9.0,81.0,3,No,149017,130218,
1297,James Leonard,46.0,Male,Bachelor's,Sales,Cloud Engineer,18.0,1.0,No,Remote,Gurgaon,Medium,Single,6.0,40.0,1,No,46011,141510,
1958,Mary Rodriguez,41.0,Female,Master's,Finance,Cyber Security Analyst,15.0,2.0,No,Hybrid,Indore,Medium,Single,7.0,89.0,0,No,190451,164847,
1813,Catherine Riley,59.0,Male,Diploma,IT,Project Manager,8.0,,Yes,Office,Mumbai,Startup,Married,6.0,73.0,6,No,113068,116832,
1038,Rachel Gray,47.0,Female,Bachelor's,Legal,Finance Analyst,1.0,2.0,Yes,Office,Noida,Medium,Married,8.0,98.0,0,No,85932,216260,
2147,Juan Phelps,26.0,Female,Master's,Sales,Product Manager,3.0,3.0,No,Office,Indore,Startup,Single,1.0,78.0,0,Yes,50245,135105,
1531,Dan Wall,55.0,Male,Bachelor's,Research,Accountant,12.0,1.0,Yes,,Gurgaon,Medium,Married,10.0,54.0,5,No,63813,116362,
1372,Stephanie Jenkins,56.0,Male,Bachelor's,HR,Cloud Engineer,29.0,1.0,Yes,,Ahmedabad,Startup,Married,6.0,74.0,10,No,336824,366216,
3694,Keith Maldonado,51.0,Male,Diploma,Finance,Full Stack Developer,0.0,4.0,Yes,Office,Chennai,Enterprise,Married,3.0,86.0,0,No,72976,113635,
1715,Timothy Rodriguez,44.0,Male,Bachelor's,Customer Support,Product Manager,6.0,5.0,No,Office,Ghaziabad,Medium,Married,5.0,79.0,0,No,70003,140324,
1931,Joseph Garcia,22.0,Male,Master's,Legal,Marketing Manager,2.0,2.0,No,Office,Jaipur,Large,Single,2.0,84.0,0,No,162151,122888,
3890,Leslie Edwards,53.0,Male,Bachelor's,Research,Software Engineer,8.0,,No,Hybrid,Pune,Large,Married,7.0,99.0,0,No,171147,141621,
2958,Teresa Williams,36.0,Female,PhD,,Data Scientist,9.0,4.0,Yes,Remote,Pune,Medium,Married,1.0,81.0,0,No,47672,171770,
246,Francisco Martinez,28.0,Male,Diploma,IT,Cyber Security Analyst,7.0,2.0,No,Hybrid,Kolkata,Large,Single,9.0,68.0,4,No,48054,122585,
1654,Brent Hartman,58.0,Female,Diploma,Operations,Sales Manager,22.0,5.0,No,Hybrid,Ghaziabad,Medium,Single,8.0,51.0,5,No,140885,147749,
1132,Michael Palmer,43.0,Female,Diploma,Customer Support,Cyber Security Analyst,15.0,2.0,No,Office,Hyderabad,Enterprise,Married,9.0,92.0,1,No,87891,155736,
2416,Brian Jones,48.0,Female,Bachelor's,Research,Product Manager,14.0,2.0,No,Office,Bangalore,Large,Single,9.0,100.0,6,No,199054,169311,
249,Jordan Lara,60.0,Male,PhD,Administration,Project Manager,32.0,2.0,No,Office,Mumbai,Medium,Married,7.0,94.0,13,No,125982,242384,
899,Thomas Pitts,45.0,Female,Bachelor's,Finance,Business Analyst,3.0,3.0,No,Office,Delhi,Enterprise,Married,2.0,93.0,3,No,89702,118878,
1143,Jonathan Douglas,57.0,Female,Bachelor's,Research,Marketing Manager,19.0,2.0,Yes,Hybrid,Gurgaon,Large,Single,10.0,49.0,0,No,179749,166659,
4355,Jacob Clark,41.0,Female,Diploma,Administration,Cloud Engineer,5.0,3.0,No,Office,Mumbai,Startup,Single,2.0,90.0,5,No,68239,110292,
4595,Sarah Johnson,23.0,Male,Master's,IT,HR Manager,0.0,,Yes,Office,Kolkata,Startup,Divorced,10.0,66.0,0,No,45919,114884,
339,Jack Boone,42.0,Female,,Legal,Data Scientist,11.0,1.0,No,Office,Gurgaon,Startup,Divorced,7.0,45.0,4,No,185847,148319,
2136,Patrick Weber,41.0,Female,High School,Legal,Cyber Security Analyst,13.0,4.0,Yes,Hybrid,Faridabad,Large,Single,7.0,84.0,13,No,23943,153831,
4549,James Horton,51.0,Male,High School,IT,Software Engineer,27.0,4.0,No,,Kolkata,Medium,Married,0.0,60.0,7,No,123486,134094,
866,Michael Hicks,50.0,Female,Diploma,Customer Support,Sales Manager,30.0,3.0,No,Office,Bangalore,Medium,Married,8.0,54.0,19,Yes,25833,166593,
1774,Bryan Deleon,27.0,Female,High School,Research,Sales Executive,4.0,4.0,No,Office,Ahmedabad,Startup,Married,3.0,80.0,3,No,153783,80747,
2250,Cynthia Walker,42.0,Female,PhD,Finance,Data Scientist,15.0,2.0,Yes,Hybrid,Kolkata,Large,Married,3.0,98.0,9,No,30818,192510,
2254,Christine Martinez,24.0,Male,Diploma,IT,HR Manager,4.0,,Yes,Office,Hyderabad,Medium,Married,1.0,71.0,4,No,80796,105773,
3010,Karen Bush,51.0,Male,Master's,Administration,Sales Executive,18.0,1.0,No,Office,Ahmedabad,Large,Single,6.0,98.0,12,No,152067,158955,
351,Christina Fritz,46.0,Male,Master's,Sales,Project Manager,15.0,4.0,No,Hybrid,Delhi,Startup,Married,6.0,99.0,0,Yes,107508,184277,
731,Michelle Rivas,23.0,Female,Bachelor's,Legal,Product Manager,2.0,3.0,No,Office,Jaipur,Medium,Single,8.0,50.0,2,No,45530,121334,
2287,Taylor Fisher,60.0,Female,Diploma,Research,Accountant,23.0,4.0,Yes,Hybrid,Delhi,Enterprise,Single,1.0,67.0,11,No,40601,166829,
711,Beth Werner,,Male,PhD,Marketing,Backend Developer,2.0,3.0,Yes,Remote,Jaipur,Medium,Married,3.0,54.0,1,No,57869,137935,
2733,Kathryn Miller,51.0,Male,Bachelor's,Marketing,ML Engineer,29.0,1.0,Yes,,Faridabad,Medium,Single,9.0,56.0,9,Yes,83840,207703,
1755,Andrew Sanchez,47.0,Male,PhD,Legal,Data Scientist,17.0,3.0,Yes,Hybrid,Indore,Large,Single,7.0,70.0,10,No,178587,210560,
2668,Melissa Martin,55.0,Male,Master's,Marketing,Marketing Manager,23.0,5.0,No,Office,Jaipur,Startup,Single,3.0,,8,No,23985,177643,
775,Benjamin Becker,42.0,Female,Bachelor's,Operations,Cloud Engineer,2.0,5.0,No,Office,Bangalore,Large,Single,1.0,71.0,2,No,185024,123227,
865,Alexander Griffith,,Female,Diploma,Finance,Business Analyst,13.0,5.0,No,Remote,Mumbai,Enterprise,Married,4.0,84.0,5,Yes,148788,163468,
39,Patricia Robinson,58.0,Female,,HR,Product Manager,33.0,3.0,Yes,Hybrid,Mumbai,Medium,Married,6.0,81.0,18,No,123196,230748,
962,Tanya Dixon,59.0,Male,Master's,Research,HR Manager,11.0,3.0,No,Office,Noida,Medium,Married,2.0,52.0,3,Yes,119837,137868,
2391,Timothy Jackson Jr.,24.0,Female,Diploma,Legal,Accountant,4.0,,Yes,Office,Lucknow,Large,Married,7.0,93.0,0,Yes,46920,115519,
1230,Justin Romero,26.0,Female,Bachelor's,Administration,Data Scientist,3.0,5.0,Yes,Office,Gurgaon,Enterprise,Single,9.0,67.0,3,No,89468,151928,
1760,Sarah Webster,24.0,Female,Bachelor's,HR,Marketing Executive,2.0,4.0,No,Remote,Mumbai,Startup,Single,7.0,74.0,1,No,503379,291003,
2068,Margaret Short,21.0,Female,Bachelor's,Customer Support,Marketing Executive,0.0,4.0,No,,Hyderabad,Medium,Single,1.0,83.0,0,Yes,180944,99132,
3162,Michael Poole,40.0,Male,Master's,Finance,Data Analyst,17.0,5.0,No,Remote,Lucknow,Startup,Single,9.0,70.0,1,No,65182,153585,
3610,Elizabeth Smith,33.0,Male,Bachelor's,Sales,Frontend Developer,7.0,1.0,Yes,,Ghaziabad,Large,Single,7.0,80.0,6,No,81168,120626,
4721,Kimberly Stewart,30.0,Male,Diploma,Sales,Data Engineer,7.0,3.0,Yes,Remote,Lucknow,Large,Single,10.0,50.0,6,No,140101,130305,
2637,Alexis Torres,54.0,Male,Bachelor's,Administration,Software Engineer,30.0,2.0,No,Office,Chennai,Enterprise,Married,10.0,43.0,0,Yes,26960,205624,
1275,Helen Garcia,29.0,Female,Diploma,Legal,Network Engineer,2.0,5.0,No,Remote,Jaipur,Large,Single,1.0,94.0,0,No,99870,108515,
3738,William Nash,42.0,Female,Bachelor's,Marketing,HR Manager,,1.0,No,Remote,Pune,Large,Single,4.0,87.0,8,Yes,442476,373893,
4625,Taylor Norman,60.0,Male,Master's,,Marketing Manager,0.0,2.0,No,Office,Bangalore,Large,Single,8.0,80.0,0,No,73410,121108,
1673,Scott Robinson,53.0,Male,Bachelor's,Research,Software Engineer,33.0,5.0,No,Hybrid,Delhi,Startup,Single,10.0,64.0,4,No,151098,198372,
341,Angela White,53.0,Female,Diploma,IT,Data Analyst,20.0,,No,Remote,Ahmedabad,Large,Single,7.0,47.0,11,Yes,44918,138948,
2427,William Arnold,49.0,Male,Diploma,Marketing,Finance Analyst,27.0,5.0,No,Office,Bangalore,Startup,Married,8.0,70.0,15,Yes,28718,155555,
1876,Lindsey Hayes,21.0,Male,High School,IT,Data Scientist,1.0,3.0,No,Hybrid,Delhi,Enterprise,Single,0.0,40.0,1,Yes,121107,116747,
2598,Kathleen Kemp,47.0,Female,Diploma,IT,Cloud Engineer,23.0,1.0,Yes,Remote,Noida,Large,Single,7.0,89.0,14,No,107010,185830,
4469,Eric Blevins,46.0,Male,Master's,Legal,Cyber Security Analyst,3.0,5.0,Yes,Hybrid,Hyderabad,Startup,Single,10.0,96.0,1,Yes,131071,156117,
1754,Brandon Lutz,,Male,Bachelor's,,Business Analyst,5.0,3.0,Yes,Office,Ahmedabad,Large,Married,10.0,92.0,4,No,149826,130683,
4518,Tracy Ramos,31.0,Male,Diploma,,Product Manager,6.0,2.0,No,Office,Noida,Startup,Married,7.0,79.0,0,Yes,126541,137521,
3480,Kenneth Suarez,35.0,Female,Master's,HR,Cloud Engineer,4.0,2.0,No,Office,Mumbai,Startup,Married,1.0,54.0,4,No,165933,114869,
2448,Matthew Rice,46.0,Male,Bachelor's,Administration,Project Manager,10.0,2.0,Yes,Office,Kolkata,Large,Single,5.0,82.0,7,No,88105,149276,
1699,Rachel Nguyen,60.0,Male,Bachelor's,,Finance Analyst,21.0,4.0,Yes,Remote,Ahmedabad,Medium,Single,5.0,,6,No,77083,173547,
1575,Melanie Page,40.0,Male,Diploma,Legal,Sales Executive,12.0,3.0,Yes,,Jaipur,Medium,Single,3.0,83.0,3,No,38980,114644,
2218,Kyle Stewart,30.0,Male,Bachelor's,Operations,Frontend Developer,5.0,3.0,Yes,Remote,Faridabad,Enterprise,Married,1.0,95.0,4,No,166713,129990,
4679,Toni Thomas,52.0,Male,Bachelor's,HR,Frontend Developer,25.0,1.0,No,Remote,Hyderabad,Enterprise,Single,6.0,,2,No,122205,176203,
1416,Bonnie Andersen,,Female,Bachelor's,Marketing,Sales Executive,1.0,4.0,Yes,Hybrid,Chennai,Startup,Single,1.0,58.0,1,Yes,190829,96521,
4106,Holly Murphy,41.0,Male,Bachelor's,HR,Data Scientist,21.0,4.0,Yes,Office,Kolkata,Large,Single,3.0,51.0,20,No,30161,184076,
4383,Daniel Steele,29.0,Female,Master's,Sales,Full Stack Developer,0.0,4.0,No,,Ahmedabad,Startup,Married,9.0,67.0,0,Yes,189098,129638,
4626,Matthew Brown,38.0,Male,Bachelor's,IT,Network Engineer,17.0,5.0,No,,Gurgaon,Medium,Married,8.0,51.0,1,No,146262,156265,
4966,Kenneth George,42.0,Female,Bachelor's,Finance,HR Manager,3.0,5.0,Yes,Office,Chennai,Medium,Single,4.0,45.0,2,No,126692,103007,
2094,George Hayden,37.0,Male,Master's,IT,QA Engineer,9.0,3.0,No,Office,Gurgaon,Enterprise,Single,10.0,79.0,3,No,190583,149488,
4357,Donald Sanchez,50.0,Female,Bachelor's,Research,Cloud Engineer,28.0,2.0,Yes,Hybrid,Jaipur,Startup,Married,5.0,71.0,10,No,192580,188158,
3671,Jonathan Smith,40.0,Male,Bachelor's,HR,QA Engineer,4.0,1.0,No,Office,Kolkata,Medium,Single,0.0,41.0,1,No,138730,85574,
2689,Jacob Stephens,25.0,Female,Diploma,Research,Project Manager,3.0,1.0,No,Office,Chennai,Enterprise,Married,3.0,47.0,1,No,150370,115361,
723,Kevin Cook,24.0,Male,PhD,Legal,DevOps Engineer,1.0,2.0,No,Office,Kolkata,Startup,Single,2.0,53.0,0,Yes,26641,136208,
115,Kevin Trevino,,Female,Bachelor's,Sales,Database Administrator,4.0,4.0,No,Office,Jaipur,Medium,Married,,68.0,3,No,137407,103945,
334,Matthew Reese,42.0,Female,,Operations,Sales Executive,17.0,3.0,Yes,Hybrid,Gurgaon,Medium,Married,10.0,76.0,15,No,129636,154759,
1979,Lance Martinez,32.0,Female,Bachelor's,HR,HR Executive,10.0,1.0,No,Office,Ghaziabad,Medium,Single,8.0,93.0,2,No,77344,96668,
219,Mr. Andrew Patel,42.0,Male,Bachelor's,Finance,Sales Manager,15.0,1.0,No,Hybrid,Gurgaon,Enterprise,Married,2.0,50.0,4,No,54872,134601,
791,Amanda Butler,51.0,Female,Bachelor's,Legal,Accountant,31.0,2.0,Yes,Hybrid,Jaipur,Large,Single,8.0,100.0,0,Yes,111005,197365,
3139,Matthew Price,34.0,Male,Master's,Finance,Cyber Security Analyst,5.0,1.0,No,Remote,Gurgaon,Medium,Married,3.0,69.0,5,No,177066,120827,
1567,Bill Ramirez,56.0,Male,Master's,Operations,Data Scientist,30.0,2.0,Yes,Office,Kolkata,Medium,Single,,,20,No,134210,218754,
1457,Sarah Pennington,47.0,Female,Bachelor's,Research,Cyber Security Analyst,16.0,,No,Office,Gurgaon,Startup,Married,6.0,64.0,14,No,61163,135114,
4806,Nicholas Cook,24.0,Male,Master's,HR,Cyber Security Analyst,0.0,2.0,No,Hybrid,Bangalore,Enterprise,Married,8.0,53.0,0,No,136764,127552,
3025,Christopher Ramsey,58.0,Female,Bachelor's,HR,Marketing Executive,24.0,2.0,No,Remote,Gurgaon,Startup,Married,6.0,47.0,4,No,89546,149653,
4992,Erika Thompson,45.0,Female,Diploma,IT,Data Engineer,16.0,5.0,No,Office,Delhi,Startup,Single,8.0,70.0,9,No,27370,149315,
297,Brandon Hicks,,Female,Master's,Administration,DevOps Engineer,13.0,1.0,No,Remote,Hyderabad,Startup,Single,6.0,67.0,11,No,154034,142124,
1242,Cory Lopez,58.0,Female,Master's,Legal,Finance Analyst,14.0,5.0,No,Hybrid,Ahmedabad,Large,Married,7.0,49.0,8,Yes,73866,159051,
2291,Benjamin Smith,40.0,Male,,Legal,QA Engineer,2.0,2.0,No,,Pune,Large,Married,5.0,99.0,2,No,167953,104159,
4356,Megan Snyder,57.0,Male,Diploma,Finance,Frontend Developer,25.0,5.0,Yes,Hybrid,Gurgaon,Medium,Married,5.0,51.0,6,No,41253,160904,
4313,Erin King,21.0,Male,Bachelor's,Legal,Cyber Security Analyst,0.0,1.0,No,Hybrid,Indore,Large,Married,6.0,55.0,0,No,44825,101292,
1898,Jonathan Rogers,52.0,Female,Bachelor's,HR,Business Analyst,6.0,4.0,Yes,Remote,Mumbai,Large,Married,2.0,81.0,1,No,513540,369486,
4479,Vincent Peck,21.0,Male,PhD,IT,Business Analyst,0.0,4.0,No,Office,Indore,Medium,Single,2.0,64.0,0,Yes,119634,139459,
1115,Kelly Edwards MD,31.0,Female,High School,Research,Sales Executive,1.0,5.0,No,Hybrid,Kolkata,Large,Married,6.0,79.0,0,No,72158,89729,
3577,Casey Morgan,47.0,Female,High School,Administration,Frontend Developer,6.0,3.0,Yes,Office,Pune,Enterprise,Single,5.0,78.0,3,No,156969,119096,
2607,Sarah Brooks,43.0,Male,Bachelor's,Operations,QA Engineer,20.0,3.0,No,Hybrid,Lucknow,Medium,Single,2.0,72.0,14,Yes,164671,143852,
420,Susan Logan,22.0,Male,,Customer Support,Data Engineer,0.0,5.0,No,Hybrid,Bangalore,Startup,Married,2.0,71.0,0,No,174099,120377,
539,Raymond Carr,39.0,Male,Master's,IT,Finance Analyst,11.0,4.0,No,Office,Hyderabad,Large,Single,10.0,60.0,4,Yes,106593,155760,
2688,Andrea Jacobson,56.0,Female,Bachelor's,IT,Marketing Manager,3.0,1.0,No,Hybrid,Gurgaon,Startup,Married,1.0,65.0,0,No,196025,92529,
1123,Melissa Smith,59.0,Male,High School,Customer Support,Project Manager,20.0,4.0,Yes,Remote,Gurgaon,Enterprise,Married,8.0,97.0,14,Yes,78414,190694,
2302,Nicole Robinson,52.0,Male,Master's,HR,Data Scientist,32.0,5.0,Yes,Hybrid,Noida,Medium,Married,9.0,97.0,2,Yes,75499,258564,
1905,Kyle Aguilar,41.0,Male,Master's,Sales,Marketing Executive,8.0,5.0,Yes,Remote,Noida,Large,Married,6.0,86.0,0,No,51619,147428,
41,Seth Hogan,24.0,Male,Master's,HR,Finance Analyst,0.0,3.0,No,Office,Chennai,Startup,Single,0.0,44.0,0,No,169849,87419,
3754,Larry Kelly,27.0,Male,Bachelor's,Administration,Database Administrator,1.0,,Yes,,Ghaziabad,Startup,Married,0.0,76.0,1,No,188612,96689,
2135,Rachel Perry,46.0,Female,Bachelor's,Research,Backend Developer,5.0,,Yes,Hybrid,Ghaziabad,Startup,Single,2.0,86.0,5,No,50135,112719,
234,Shelby Walker,47.0,Male,Diploma,Research,Frontend Developer,20.0,3.0,Yes,Remote,Indore,Large,Married,4.0,69.0,13,No,148308,155199,
4103,Lauren Wilson,49.0,Female,High School,HR,Marketing Executive,29.0,3.0,No,Hybrid,Faridabad,Enterprise,Married,7.0,86.0,15,No,172917,163332,
2913,Peter Williams,42.0,Female,Master's,Finance,Frontend Developer,15.0,5.0,No,Office,Mumbai,Large,Married,6.0,58.0,7,No,195061,158614,
443,Jill Pitts,26.0,Male,,Sales,QA Engineer,5.0,3.0,Yes,Hybrid,Hyderabad,Medium,Single,0.0,52.0,1,No,147159,98429,
666,Erica Morgan,40.0,Female,Master's,Customer Support,Data Analyst,10.0,1.0,Yes,Hybrid,Delhi,Large,Married,7.0,,4,No,58886,140900,
4583,Brittney Diaz,47.0,Male,Master's,Finance,Accountant,5.0,4.0,Yes,Remote,Faridabad,Large,Married,8.0,91.0,0,No,123308,131203,
2343,Sara Garcia,46.0,Female,Bachelor's,Customer Support,DevOps Engineer,22.0,2.0,No,Office,Hyderabad,Enterprise,Single,0.0,62.0,5,No,172900,180939,
1064,Elizabeth Moran,41.0,Female,Bachelor's,Legal,Cloud Engineer,17.0,3.0,No,Remote,Hyderabad,Enterprise,Single,6.0,43.0,1,Yes,30270,179692,
691,Joseph Page,34.0,Female,Bachelor's,Operations,DevOps Engineer,5.0,1.0,No,Remote,Noida,Enterprise,Single,7.0,53.0,1,No,94944,125085,
3700,Alexis Daniels,24.0,Male,Master's,Administration,Backend Developer,3.0,2.0,No,Office,Chennai,Startup,Married,9.0,52.0,3,No,25586,110822,
325,Kayla Holloway,21.0,Female,Bachelor's,,ML Engineer,0.0,2.0,Yes,Hybrid,Faridabad,Large,Single,,49.0,0,No,156873,112786,
1286,Lisa Torres,53.0,Male,Bachelor's,IT,ML Engineer,13.0,2.0,Yes,Hybrid,Faridabad,Large,Divorced,10.0,80.0,13,Yes,28048,185092,
2788,Donna Glass,39.0,Male,Diploma,Sales,Database Administrator,14.0,2.0,Yes,Office,Ahmedabad,Enterprise,Single,0.0,58.0,5,Yes,27166,143077,
4171,Kayla Lee,27.0,Male,,HR,Marketing Manager,2.0,2.0,Yes,Office,Kolkata,Medium,Single,5.0,76.0,1,No,113251,113566,
1112,Jeremy Lane,34.0,Female,Bachelor's,Finance,Data Analyst,8.0,1.0,No,Office,Bangalore,Medium,Married,7.0,85.0,1,No,140162,109612,
113,Thomas Johnson,32.0,Female,Bachelor's,Finance,Marketing Manager,0.0,,No,Remote,Hyderabad,Medium,Single,4.0,74.0,0,Yes,40609,111283,
1141,Dan Davila,25.0,Female,Bachelor's,Marketing,Software Engineer,,4.0,No,,Ahmedabad,Startup,Married,5.0,74.0,5,No,67941,110216,
3732,Molly Kim,59.0,Male,Diploma,Research,ML Engineer,19.0,1.0,Yes,Hybrid,Indore,Large,Single,3.0,64.0,12,No,92616,157841,
3562,Jennifer Lewis,49.0,Female,Master's,IT,Frontend Developer,3.0,1.0,No,Hybrid,Ghaziabad,Medium,Married,10.0,51.0,2,No,193204,108405,
84,Amber Lewis,58.0,Female,Diploma,IT,Network Engineer,14.0,4.0,No,Hybrid,Kolkata,Enterprise,Single,0.0,68.0,4,Yes,102970,153011,
2454,Robert Castro,27.0,Male,High School,HR,Finance Analyst,,,Yes,,Pune,Large,Single,1.0,84.0,2,Yes,62440,109394,
3692,John Cruz,21.0,Male,,Administration,Full Stack Developer,1.0,5.0,No,Office,Kolkata,Large,Single,4.0,42.0,1,No,131105,113831,
1844,Tiffany Odonnell,35.0,Male,High School,Finance,Frontend Developer,12.0,3.0,No,Office,Noida,Large,Single,0.0,81.0,12,No,171071,115265,
3918,Diana Sawyer,54.0,Female,Diploma,IT,Data Engineer,18.0,4.0,No,Office,Pune,Large,Married,7.0,51.0,6,No,78299,156990,
751,Kyle Smith,37.0,Male,Master's,Marketing,Software Engineer,6.0,1.0,No,Remote,Ghaziabad,Startup,Married,2.0,83.0,2,No,76630,103108,
3541,Barbara Wilson,51.0,Male,Bachelor's,Finance,Marketing Manager,7.0,1.0,Yes,Hybrid,Hyderabad,Medium,Divorced,4.0,67.0,7,Yes,152877,126703,
1793,Donna Johnson,26.0,Male,Bachelor's,Research,Frontend Developer,2.0,4.0,No,Remote,Indore,Medium,Married,3.0,55.0,2,No,116515,90896,
1951,Lisa Shaw,33.0,Male,Master's,Administration,Data Analyst,9.0,3.0,No,Hybrid,Jaipur,Medium,Married,8.0,81.0,4,Yes,50558,140594,
149,Jared Arroyo,42.0,Male,Diploma,Finance,Frontend Developer,15.0,,No,Remote,Ahmedabad,Enterprise,Married,10.0,99.0,6,No,98610,155437,
2210,Anna Morgan,28.0,Female,Master's,HR,Project Manager,3.0,5.0,No,Hybrid,Ahmedabad,Large,Married,6.0,46.0,3,No,95104,143612,
2055,Kevin Smith,34.0,Male,Diploma,,Data Engineer,6.0,4.0,No,Hybrid,Bangalore,Startup,Married,2.0,80.0,4,No,182862,115985,
621,Lisa Combs,57.0,Female,Bachelor's,IT,Product Manager,3.0,4.0,Yes,Office,Bangalore,Large,Married,9.0,80.0,3,No,198219,152364,
4123,Aaron Lee,48.0,Male,Master's,Administration,Accountant,10.0,4.0,No,Hybrid,Gurgaon,Medium,Single,0.0,53.0,3,No,199815,120974,
4392,Francisco Rios DDS,58.0,Male,Master's,HR,Full Stack Developer,,5.0,Yes,Remote,Noida,Medium,Single,0.0,62.0,9,Yes,43247,215615,
4991,Daniel Mercado,43.0,Male,Master's,HR,ML Engineer,0.0,,Yes,Hybrid,Chennai,Startup,Married,,69.0,0,No,117965,117683,
3343,Eric Baker,44.0,Male,Diploma,Operations,Cyber Security Analyst,24.0,5.0,No,Hybrid,Faridabad,Startup,Single,9.0,59.0,20,No,192468,177666,
502,Kristen Olsen,48.0,Female,Bachelor's,Sales,Backend Developer,28.0,5.0,Yes,Office,Noida,Medium,Married,,93.0,0,No,79155,187667,
4777,Rodney Frank,42.0,Male,Diploma,Research,Frontend Developer,3.0,5.0,No,Office,Kolkata,Medium,Single,0.0,82.0,1,Yes,29073,106053,
2651,Destiny Moore,39.0,Female,Bachelor's,Research,Sales Manager,2.0,2.0,No,Office,Pune,Medium,Single,2.0,84.0,0,No,54825,91959,
4445,Jonathan Sanchez,21.0,Male,Master's,Legal,Marketing Executive,1.0,2.0,No,Office,Lucknow,Medium,Single,9.0,74.0,0,Yes,82637,116647,
580,Megan Dennis,28.0,Female,Diploma,Customer Support,Marketing Executive,2.0,2.0,No,Remote,Chennai,Medium,Married,2.0,46.0,2,No,66665,69703,
4042,Jason Mccarty,37.0,Male,Bachelor's,Research,ML Engineer,6.0,4.0,No,Office,Gurgaon,Medium,Single,7.0,,2,No,194242,142455,
3158,Alexandra Cole,,Female,Bachelor's,,Sales Manager,0.0,4.0,No,Office,Faridabad,Medium,Married,7.0,94.0,0,No,139117,104458,
4453,William Medina,21.0,Male,High School,Research,Accountant,0.0,5.0,No,Hybrid,Gurgaon,Startup,Married,6.0,74.0,0,No,31726,72528,
1156,Warren Dunn,59.0,Female,Bachelor's,Finance,HR Executive,35.0,5.0,No,Office,Kolkata,Large,Married,4.0,72.0,20,Yes,144826,195781,
4331,Timothy Castillo,54.0,Female,High School,,Project Manager,,4.0,No,Remote,Indore,Large,Married,7.0,90.0,6,No,86635,196340,
1144,Robin Baker,39.0,Male,Bachelor's,Research,Data Scientist,18.0,2.0,Yes,Hybrid,Hyderabad,Medium,Single,2.0,50.0,7,Yes,102865,173287,
3600,Taylor Allen,23.0,Male,High School,Legal,Marketing Manager,1.0,3.0,Yes,Office,Gurgaon,Medium,Married,8.0,92.0,1,No,158827,102944,
1763,Robert Johnston,24.0,Female,Diploma,Legal,Backend Developer,1.0,2.0,Yes,Office,Bangalore,Startup,Married,10.0,45.0,1,Yes,62232,98687,
3654,Matthew Hall,40.0,Male,Diploma,Research,Business Analyst,3.0,2.0,Yes,Office,Faridabad,Medium,Single,10.0,59.0,2,No,25414,104220,
2543,James Miller,48.0,Female,Bachelor's,Marketing,Finance Analyst,17.0,5.0,Yes,Remote,Lucknow,Enterprise,Married,0.0,79.0,14,No,36159,158151,
